record	parliament_year	estate	annotation	most_probable_line	lev	wer	cer
data/1863-1864/prot_1863-1864_praster_II.xml	1863-1864	praster	och intagande uti betänkandet af sista momentet utaf	 och intagande uti betänkandet af sista momentet utaf	0	0.0	0.0
data/1863-1864/prot_1863-1864_praster_II.xml	1863-1864	praster	herredagspenningars utgörande äfven från de för prester-	 herredagspenningars utgörande äfven frän de för presters	2	0.2857142984867096	0.0357142857142857
data/1863-1864/prot_1863-1864_praster_II.xml	1863-1864	praster	statens enke- och pupillkassa under den 9 sistlidne septem-	lstatens enke- och pupillkassa under den 9 sistlidne septemb	2	0.2222222238779068	0.0338983050847457
data/1863-1864/prot_1863-1864_praster_II.xml	1863-1864	praster	jemväl och isynnerhet för alla sådana lägenheter, som icke	 jemväl och isynnerhet för alla sådana lägenheter, som icke	0	0.0	0.0
data/1863-1864/prot_1863-1864_praster_II.xml	1863-1864	praster	läggande och förödande; jag må icke lemna onämndt det	läggande och förödande; jag må icke lemna onämndt det 	0	0.0	0.0
data/1863-1864/prot_1863-1864_praster_II.xml	1863-1864	praster	skadeersättningar blifva snart ägare icke allenast af den	 skadeersättningar blifva snart ägare icke allenast af den	0	0.0	0.0
data/1863-1864/prot_1863-1864_praster_I.xml	1863-1864	praster	gen i början af betänkandet talades om universitets-, gym-	igen i början af betänkandet talades om universitets-, gymn	2	0.2222222238779068	0.0344827586206896
data/1863-1864/prot_1863-1864_praster_I.xml	1863-1864	praster	förefallna diskussionen, önskade prosten i korthet uttala	 förefallna diskussionen, önskade prosten i korthet uttala	0	0.0	0.0
data/1863-1864/prot_1863-1864_praster_I.xml	1863-1864	praster	debet och kredit blifvit uti detta afseende uppgjord. Detta	 debet och kredit blifvit uti detta afseende uppgjord. Detta	0	0.0	0.0
data/1863-1864/prot_1863-1864_prester_III.xml	1863-1864	prester	om dess ersättande genom något annat. Jag anser såle-	 om dess ersättande genom något annat. Jag anser såled	1	0.1111111119389534	0.0188679245283018
data/1863-1864/prot_1863-1864_prester_III.xml	1863-1864	prester	skas paragraf för paragraf. Första paragrafen handlar	skas paragraf för paragraf. Första paragrafen handlar 	0	0.0	0.0
data/1863-1864/prot_1863-1864_prester_III.xml	1863-1864	prester	en förut fattad öfvertygelse, som ej kan rubbas af någon	 en förut fattad öfvertygelse, som ej kan rubbas af någon	0	0.0	0.0
data/1863-1864/prot_1863-1864_prester_III.xml	1863-1864	prester	det nu är tu tal om den der stora ekonomiska fördelen	 det nu är tu tal om den der stora ekonomiska fördelen	0	0.0	0.0
data/1863-1864/prot_1863-1864_prester_III.xml	1863-1864	prester	ståndet rådande opinionen. Det mest besynnerliga af de	ständet rädande opinionen. Det mest besynnerliga af de 	2	0.25	0.037037037037037
data/1863-1864/prot_1863-1864_prester_III.xml	1863-1864	prester	„farhågan att efter införande af fabriksbränning sedlighetens	 yfarhägan att efter införande af fabriksbränning sedlighetens	2	0.1428571492433548	0.0327868852459016
data/1863-1864/prot_1863-1864_prester_III.xml	1863-1864	prester	qvantitet brännvin kan tillverkas, att den motsvarar 10	 gvantitet brännvin kan tillverkas, att den motsvarar 10	1	0.125	0.0181818181818181
data/1863-1864/prot_1863-1864_prester_III.xml	1863-1864	prester	nas form, det erkänner jag gerna — och det är mig äf-	rnas form, det erkänner jag gerna — och det är mig äfv	2	0.1666666716337204	0.0377358490566037
data/1863-1864/prot_1863-1864_prester_III.xml	1863-1864	prester	erhållit. Vore förhållandet sådant som kyrkoherden Hei-	 erhållit. Vore förhållandet sådant som kyrkoherden Heik	1	0.1428571492433548	0.0181818181818181
data/1863-1864/ptk_1863-1864_talonpojat_II.xml	1863-1864	talonpojat	toden mukaan se niin ei olisi. Jos tilattomille kuitenkin tahdot=	 toben mukaan fe niin ei olii. Ios tilattomille kuitenkin tahdot t	6	0.5454545617103577	0.0923076923076923
data/1863-1864/ptk_1863-1864_talonpojat_II.xml	1863-1864	talonpojat	ei woinut suostua waliokunnan lausuntoon ja yhtyi siihen mitä	 ei moinut fuostua waliofunnan laufuntoon ja yhtyi fiihen mitä	5	0.5555555820465088	0.081967213114754
data/1863-1864/ptk_1863-1864_talonpojat_II.xml	1863-1864	talonpojat	ettei tilattomia, saadaksensa oikeuden itse edestänsä wastata, pitäisi	 ettei tilattomia, faadaffenfa oikeuden itje edestänjä wastata, pitäifi	7	0.5	0.1
data/1863-1864/ptk_1863-1864_talonpojat_II.xml	1863-1864	talonpojat	högvördiga ståndet med några förändringar och tillägg an-	ä määrä fåädettäiftin erilaifekji eri läänisjä. Sillä ja m	45	1.0	0.7894736842105263
data/1863-1864/ptk_1863-1864_talonpojat_II.xml	1863-1864	talonpojat	„Vill ridderskapet och adeln att § 6 af betänkandet	, ikä puhujalla ei ollut mitään fofemusta meren fuht	40	1.0	0.7843137254901961
data/1863-1864/ptk_1863-1864_talonpojat_II.xml	1863-1864	talonpojat	skall helt och hållet utgå?	sfä wettä olifi hylläkji. Pa	20	1.0	0.7407407407407407
