file,language,orthography
valtiopaivat-records/data/1885/prot_1885_borgare_I.xml,s,r
valtiopaivat-records/data/1885/prot_1885_papisto_II.xml,sf,r
valtiopaivat-records/data/1885/prot_1885_papisto_I.xml,sf,r
valtiopaivat-records/data/1885/ptk_1885_talonpojat_III.xml,f,r
valtiopaivat-records/data/1885/ptk_1885_talonpojat_II.xml,f,r
valtiopaivat-records/data/1885/ptk_1885_talonpojat_I.xml,f,r
valtiopaivat-records/data/1885/ptk_1885_talonpojat_IV.xml,f,r
valtiopaivat-records/data/1899/prot_1899_adeln_.xml,s,r
valtiopaivat-records/data/1899/prot_1899_borgare_.xml,s,r
valtiopaivat-records/data/1899/ptk_1899_papisto_.xml,fs,r
valtiopaivat-records/data/1899/ptk_1899_talonpojat_.xml,f,r
valtiopaivat-records/data/1867/prot_1867_adeln_III.xml,s,r
valtiopaivat-records/data/1867/prot_1867_adeln_II.xml,s,r
valtiopaivat-records/data/1867/prot_1867_adeln_I.xml,s,r
valtiopaivat-records/data/1867/prot_1867_borgare_II.xml,s,r
valtiopaivat-records/data/1867/prot_1867_borgare_I.xml,s,r
valtiopaivat-records/data/1867/prot_1867_praster_III.xml,s,r
valtiopaivat-records/data/1867/prot_1867_praster_II.xml,s,r
valtiopaivat-records/data/1867/prot_1867_praster_I.xml,s,r
valtiopaivat-records/data/1867/ptk_1867_talonpojat_II.xml,f,r
valtiopaivat-records/data/1867/ptk_1867_talonpojat_I.xml,f,r
valtiopaivat-records/data/1882/prot_1882_adeln_III.xml,s,r
valtiopaivat-records/data/1882/prot_1882_adeln_II.xml,s,r
valtiopaivat-records/data/1882/prot_1882_adeln_I.xml,s,r
valtiopaivat-records/data/1882/prot_1882_borgare_III.xml,s,r
valtiopaivat-records/data/1882/prot_1882_borgare_II.xml,s,r
valtiopaivat-records/data/1882/prot_1882_borgare_I.xml,s,r
valtiopaivat-records/data/1882/prot_1882_praster_III.xml,s,r
valtiopaivat-records/data/1882/prot_1882_praster_II.xml,s,r
valtiopaivat-records/data/1882/prot_1882_praster_I.xml,s,r
valtiopaivat-records/data/1882/ptk_1882_talonpojat_II.xml,f,r
valtiopaivat-records/data/1882/ptk_1882_talonpojat_I.xml,f,r
valtiopaivat-records/data/1897/prot_1897_adeln_III.xml,s,r
valtiopaivat-records/data/1897/prot_1897_adeln_II.xml,s,r
valtiopaivat-records/data/1897/prot_1897_adeln_I.xml,s,r
valtiopaivat-records/data/1897/prot_1897_borgare_II.xml,s,r
valtiopaivat-records/data/1897/prot_1897_borgare_I.xml,s,r
valtiopaivat-records/data/1897/ptk_1897_papisto_III.xml,fs,r
valtiopaivat-records/data/1897/ptk_1897_papisto_II.xml,fs,r
valtiopaivat-records/data/1897/ptk_1897_papisto_I.xml,fs,r
valtiopaivat-records/data/1897/ptk_1897_talonpojat_III.xml,f,r
valtiopaivat-records/data/1897/ptk_1897_talonpojat_II.xml,f,r
valtiopaivat-records/data/1897/ptk_1897_talonpojat_I.xml,f,r
valtiopaivat-records/data/1872/prot_1872_adeln_III.xml,s,r
valtiopaivat-records/data/1872/prot_1872_adeln_II.xml,s,r
valtiopaivat-records/data/1872/prot_1872_adeln_I.xml,s,r
valtiopaivat-records/data/1872/prot_1872_borgare_III.xml,s,r
valtiopaivat-records/data/1872/prot_1872_borgare_II.xml,s,r
valtiopaivat-records/data/1872/prot_1872_borgare_I.xml,s,r
